tweet,location
"Looks like @pierwcleveland happy hour, post covid, set sail last night! And what a beautiful evening for it! #wintoncam #lakewoodthatilove ☮️✌️❤️👌🦞🐟🐠🥂🚣🏿‍♀️ @ Winton Cam https://t.co/CgU4D2esBB",Ohio
"#scoutinglocations New Project comin' soon ""Pandemic Man"" 😷📽 @ Undisclosed Location USA https://t.co/TwVL3Wc4TG",Florida
"Baby boy not happy to be having his COVID19 test for his ortho foot surgery on Tuesday. He said...""HE RAPED MY NOSE""! @ Waxahachie, Texas https://t.co/YMjuoY98g6",Texas
"COVID Hair! @ Calabasas, California https://t.co/vVeZ99ntYH",California
"Lots of berries! but only a few blue ones. That will change, but it takes time. We're opening PYO on Monday, but for only a few groups. Sign-ups are on the website along with our safety plan for COVID-19:… https://t.co/PXO5RLMyAN",North Carolina
"Lying Racist GOP Senator Touts Fake News BS About Low Black Unemployment As Black Unemployment Hits 10-Year Peak!

 https://t.co/o2gH28Ccmn #Unemployment #AllRepublicans #RacistGOP #RacistRepublicans #NaziGOP",District of Columbia
Thank you https://t.co/Kjbajmq5L6 St. Elizabeth for the great mask! Stop by until noon to get one for free. #covid19 #safety #thegoodlife #gbr @ St. Elizabeth Regional Medical Center https://t.co/dsUyA9VZLS,Nebraska
Back to “pre-COVID-19 weight.” @ Mosaic Apts https://t.co/4n6WrodWNQ,California
Getting tattooed in the era of COVID... @ Haylo Healing Arts Lounge https://t.co/UBA305gvIo,North Carolina
"Thank you #unitecreate for the post
.
.
・・・
“Selling weed literally went from major felony to essential business (open during pandemic) in much of America &amp; yet many are still in prison. Doesn’t make sense, isn’t… https://t.co/88PQlDPelC",Florida
"Because they behaved and followed the rules, NZ is three weeks #Covid free and they can celebrate… all while you fuck'tards here in the US have ruined it for all of us who have stayed in on #Lockdown since March; and will probably have to stay in #Quarantine until Christmas! https://t.co/dSMp9ScNaT",District of Columbia
"The Town of Wake Forest and Wake Forest Downtown, Inc. (WFD) are looking to stimulate the downtown Wake Forest economy and reward residents who are supporting downtown businesses during the COVID-19 pandemic. To… https://t.co/beVjbI9Ho5",North Carolina
"June 13, 2020 today was suppose to be our party!! “Not Your Average Wedding” I should be on South Beach getting a massage right now! Thanks to #Covid19 I’m extremely sad today 😢 let’s see what April 2021 does FML @… https://t.co/MWWdJN59ka",Florida
Friday’s-‘Finish Strong’ 🧍🏻‍♀️🧍🏼👫👬👭Children are built to play &amp; use their imaginations! COVID-19 has taken the ‘Fun’ and innocence away from their blissful play. 👩‍❤️‍💋‍👨🏃🏽‍♀️👨‍👧‍👧👩‍👧‍👧👩‍👧‍👦👨‍👧‍👦🌎🌦🌈🌎 This world… https://t.co/gczzPxLaa7,California
#drawing. #anxiety #batman with #rose aces. #gouache and #pencil on @CansonPaper #paper. #art #color #line #tone #instaart #instaartist #instadrawing #instadraw #history #draw #drawing #isolation #corona #coronaart… https://t.co/pnQV5HQ7EP,New York
Friends Sending Me #Covid #Coffee #Love @ Benedict's Restaurant - Dallas https://t.co/49ulrmLx8e,Texas
Look who graduated from physical  therapy this week!!! 🎓🎉🥳Kayla began working from home during the pandemic &amp; was spending endless hours on the computer. She was having daily headaches along with neck &amp; tmj pain.… https://t.co/4HsSkbEIfh,Louisiana
Cool crisp Carolina morning on the dock. - Drinking a Corona Premier by @GrupoModelo_MX @ TI Canals  — https://t.co/bDAs20Feno,North Carolina
How to apply for DC Public Benefits during COVID-19  https://t.co/sbiG9LWWub,New York
"🥰Pomona Valley Certified Farmers Market 
🤪OPEN for Business Saturday 6/13 9am-1pm.🤪
😇Fresh and Local.
🤩Prices are less than surrounding Farmers Markets because it is run by Volunteers.
🧐Safe COVID practices are in… https://t.co/oNFsKsQn3o",California
Free drive up COVID-19 testing is available at Alario Center today. There is no line at this time. @ Alario Center https://t.co/ANPIf7CsSH,Louisiana
Still looking for hand sanitizer?  We have limited number of 16.9oz bottle available for sale at The Gentlemen's Closet.  #handsanitizer #covid19 #safetyfirst #essentials @ The Gentlemen's Closet https://t.co/wk37KB3QJQ,Maryland
Corona CA Sat Jun 13th AM Forecast: TODAY Mostly Sunny Hi 83 TONIGHT Mostly Clear Lo 54,California
"Sorry Covid but this graduate is still graduating. 🎓 
——————————
Last Sunday in the midst of the madness I threw a little graduation for my little man who almost had it robbed by Covid. I got a few of his classmates… https://t.co/NS4xkfifom",New York
"I want to start showing everyone the process, Clyla booked with me last August, she was very patient during the process, we designed her gown and planned to have all her fabric in by March then BOOM.... COVID hit. We… https://t.co/WjfPlsdazf",Texas
"Listen...within hours, authorities said it was suicide and offered mental illness during Covid-19 information insinuating this young man committed suicide because of the Covid times we're in. His family and friends… https://t.co/h74b4srmQN",California
"We’re winding up a visit to public sculptures (and one mosaic) in Manhattan, using a list I hand copied from The Times years ago. #publicsculptures #manhattan #stonewallinn #covid19 #pandemic @ Financial District https://t.co/L5qTcHvovw",New York
"In the midst of a pandemic, in the midst of social injustice, we celebrate the GOOD parts, including graduation of BNI @ PCH child neurology residents Dr. Yvette Brown and Dr. Klari Olenski. Congrats! @barrowneuro @… https://t.co/urKI57e001",Arizona
"https://t.co/S4oWTeAfVB Blogging Stuff | Coronavirus | What you need to know: For Accurate &amp; Up To Date Information Click {CDC | Coronavirus (COVID-19)} Dr. Jen Ashton, ABC News'… https://t.co/OpaVZ1SW3G #Coronavirus #CoronavirusPandemic - L@@k At More | https://t.co/S4oWTeAfVB",Oregon
"#GOODMORNING It seems like what the world needs right now is truth, education, &amp; awareness.  So WE  _thenorthstarsmusicgroup aka #TNS are here to supply it.
⚠️⚠️⚠️⚠️⚠️⚠️⚠️⚠️⚠️
#COVID19 OUT NOW VIA #SOUNDCLOUD &amp;… https://t.co/V8kvwAnvUo",New York
"A semi-responsible, socially/physically-distant virtual fist bump to my son who graduates from high school today, and to all the class of #COVID19, er, I mean 2020. #GraduationDay #CongratsClassOf2020 @ Olympia,… https://t.co/hveDNFaFSp",Washington
"Oh noes #newarknj #newjersey #newarkstronger #covid_19 #streetsign #warning @ Newark, New Jersey https://t.co/egBlsUjzvy",New Jersey
"Sorry Covid but this graduate is still graduating. 🎓 ——————————
Last Sunday in the midst of the madness I threw a little graduation for my little man who almost had it robbed by Covid. I got a few of his classmates… https://t.co/KoNslPjIbJ",New York
"Prevention of COVID-19 in the workplace @ Manhattan, New York https://t.co/xvLXRDCzPa",New York
"We would like to thank all the Covid-19 First Responder Warriors by extending a 50% discount on one bottle of wine to enjoy on our grounds or to take home to enjoy. Friday, May 29th to Sunday, May 31st. 
For… https://t.co/hZfkU10dn0",Virginia
"You can make a difference. 
Your support will get us off the ground. Fundraiser and FB live stream of our 1st performance since the pandemic of 2020. Make a donation via the link in our profile. ☝️ @ UpSwing Aerial… https://t.co/6GnaKvHfIs",California
Friday lunch #food #foodporn #foodphotography #foods #foodstagram #foodgasm #foodlover #foodpornshare #instafood #bonappetit #foodbeast #foodpic #foodpics #foodlove #houston #htx #hou #coronavirus #houstontx… https://t.co/1FATykQtEK,Texas
Jordan’s entire group is dipped in sauce 😭🔥🔥🔥 Another great turnout for fueledupmeet after the COVID-19 stay at home order is relaxed 👍🏿 @ Legacy Hall https://t.co/MErapXV3r0,Texas
"A #Barware Company for the Pros Adds Amateurs to the Mix: When its equipment sales to bars and restaurants plummeted during the #Coronavirus #pandemic, #CocktailKingdom successfully turned to consumers.… https://t.co/jZR2vUJPVZ",New York
@CoveredMyWagon I knew I was going to get a bill from Kaiser when I took my covid test back in April but so far so good. I’m watching my mailbox tho.,Maryland
"AND WE ARE BACK!

Thank you to the BSC for allowing us to test our COVID-19 Prevention Procedures and Protocols today with a small group. On to the real thing starting Monday!

Looking forward to a great… https://t.co/QLpWd6P1ey",Massachusetts
Spotted at my first Corona retail excusion #lifeinthetimeofcorona #dancingdog #obsessedwiththisdog @ Cathy's Place https://t.co/wVqZOsd7VN,Massachusetts
"No tears from a king....#georgefloyd #corona @ Los Angeles, California https://t.co/0Qd97wvxrU",California
"Y’all need some crawfish in y’all life for many reasons!! #cajuns #crawfish #covid19 @ Thornton, Colorado https://t.co/8Su6JyKRw6",Colorado
"What the coronavirus has given me is perspective, to realize how lucky I really am. I can't hug or kiss my Grandchildren, but I know we will be able soon. God has blessed Jo Ann and I we some great children and… https://t.co/B43NLhtqn4",California
