,tweet,tweet,location,Unnamed: 0.1,Confirmed
88,corona ny sun apr 12th forecast today cloudy hi forty-five tonight partly cloudy lo thirty-one,,,,
89,happy easter everyone easter happyeaster quarantine corona virus abnormalattraction comedy getfuzzy stayhome staysafe bobbypriv leavs16 new york new york,,,,
90,went bit walk million podcasts flushing meadow corona park,,,,
91,fresh air park artmuseum corona art covid nineteen outside staysafe nassau county museum art,,,,
92,visiting usp alcatraz bought harmonica knowing entertain son much keepinghimbusy uspalcatraz harmonica corona new york,,,,
93,corona ny sun apr 12th pm forecast tonight partly cloudy lo thirty-one saturday sunny hi forty-one,,,,
94,goodbye twenty-one wow happy 22nd birthday ryan coronabeer lunch home best corona still delivering delicious food is dessert actually food manhattan love you manhattan new york,,,,
95,corona girl westminster massachusetts,,,,
96,easter breakfast quarantine corona easter indian fishin ' lake,,,,
97,bringing outdoors inside since know corona happyeaster corona forsythia hyacinth flower flowersinstagram lincoln rhode island,,,,
98,sign time corona coronavirus mask bikeride denver colorado cherry creek trail,,,,
99,two thousand and twenty easter got like happy easter friend better time ahead covid19 corona quarantinelife quarantined ormond beach florida,,,,
100,adventure corona donkey easter two thousand and twenty boxcrafts corona stayhome easter fort lauderdale florida,,,,
101,four twelve two thousand and twenty jesus paid all owe happy corona easter family yours mount dora florida,,,,
102,easter two thousand and twenty mahi tuna brussel sprout wine corona parkland florida,,,,
103,easter two thousand and twenty safe people play safe amp stay home this corona virus real dont forget true meaning easter quarantine easter2020 stayhome heisrisen little fall new jersey,,,,
104,covid19 corona two thousand and twenty quarantine stayhome stayhealthy charlotte north carolina,,,,
105,nation groove stayinghome funk alonetogether da corona covid nineteen north carolina,,,,
106,easter lamp chop easter corona lambchop fhjerk island vybes kitchen fh jerk,,,,
107,celebrating easter corona virus style lakeview east chicago,,,,
108,don ' judge me champagne taste beer pocket book home beer corona heineken redstripe greenmount guilford greenacresinguilford eastersunday easter easterbunny green acre guilford,,,,
109,hotnigga entrepreneur baltimore maskup stayhome quarantine betterlife corona mask maryland livesmart thebestatit baltimore maryland,,,,
110,family yours risen easter heisrisen resurrectionday covid corona quarantine montana,,,,
111,`` my latest post ' utilitypole rust green staple corona pixel3xl pixel iger instagram gram nature new orleans louisiana,,,,
112,corona blue jazz funk rnb grownfolkmusic smithsonian national museum african american history culture,,,,
113,happy easter redeemer life easter easterdecor easterathome corona prospecthillinn quarantinelife tablescapechallenge prospect hill inn amp restaurant,,,,
114,sure missing baseball thank firelands athletic booster seniors2020 baseball corona nothowthiswassupposedtogo firelands high school,,,,
115,livestreammusic frankb attempting show corona rock folk,,,,
116,corona djtsalt djtsaltt tiktokdance memphis tennessee,,,,
117,talking hand good know trust real wilson corona castaway tomhanks solo trust conversation atlanta georgia,,,,
118,mask llalladesigns sewing corona handcrafted embroidery pfaff projectbags pompoms domore2020 graceandkindness mask stayhome lla lla design,,,,
119,coronaressurection stayhome homesweethome lockdown staycation corona covid holy land,,,,
120,april2020 stayhome corona covid19 texana plantation richmond,,,,
121,tweet,,,,
122,covid nineteen corona virus style everett washington,,,,
123,corona virus got like bandana misterbandana wildwildwest maskedman coronatimes coronavirusgotmelike crazytown safe gulf shore alabama,,,,
124,sign postbrand ad lajolla california corona la jolla,,,,
125,corona got world like atreyu fighting nothing san diego california,,,,
126,corona ca sun apr 12th forecast today chance shower hi sixty-two tonight chance shower lo fifty,,,,
127,resurrection life john eleven twenty-five corona california,,,,
128,easter flower brighten house happy easter flower flower daffodil tulip easter home corona california,,,,
129,rocky stair corona del mar state beach,,,,
130,happy easter familia friend thank god blessed day have happyeaster2020 familiaarmas armasfamily chiltonohana corona california,,,,
131,visit easter bunny today corona california,,,,
132,content iparkmusic oobang love family fun hope love smile corona coronavirus ipark music co,,,,
133,grandma aunt stuffed celery pimento cheese jar added spring radish kosher salt side corona california,,,,
134,corona ca sun apr 12th pm forecast tonight chance shower lo forty-eight monday chance shower hi sixty-four,,,,
135,glazed easter ham baby carrot roasted asparagus parmesan corona california,,,,
136,posted photo corona california,,,,
137,lem me yours corona easter2020 outfit los angeles california,,,,
138,potato latke topped homemade applesauce latkas potato applesauce homecooking easterdinner easter food corona california,,,,
139,friday night rona corona flagstaff orpheumtheatre arizona blackandwhite photography amateurphotography friday stayhome stayhealthy staysafe flagstaff arizona,,,,
