tweet,location
"Here’s another oldie but goodie. Pre-corona era... when you are looking for that portrait tattoo artist, I am the one to come and see!!!!! Inbox for appointments. 
Oh and hit that speaker button. That’s just ya boy… https://t.co/DNdkUZjNZ9",Arkansas
"#Repost @MissJei38
・・・
#womencrushwednesday You all remember JEILYSA from Halloween? JEILYSA has gotten really bored so she came out with a song called ""LA Corona"" Enjoy! Week 4 - Day 30 @ Miami Beach, Florida https://t.co/R3u7JGeeSD",Florida
"#Salud y #Cheers to the birth #ReneJoaquinTorres 🍻
We finally got a chance to take a pic!!!
#WeDidIt babycakesleyvatorres  #Corona #Coronita #BabyBoy #BabyTorres #BabyTorres2020 #April2020… https://t.co/nrXX6RdAIt",California
"Just found this Quarantine dog. Prolly keep him *
*
*
*
*
*
*
*
*
*
#dog #dogsofig #puppy #pets #quarantine #covid #corona #champion #isolation #mansbestfriend #chicago #chicagoGuy @ Quarantine https://t.co/rSinZhXFfR",Illinois
"Missing my days without this Corona stuff... #singing #singinglessons #corona #coronamemes #coronasucks @ Bend, Oregon https://t.co/qlOgIBpWVY",Oregon
"Question… Am I going to get wine… Or Steel gold from a Wells Fargo horse drawn wagon with my posse... stick em up...!!! @ Corona, California https://t.co/XfPKQBNeaZ",California
"Taz has the corona watch tonight @ League City, Texas https://t.co/95mFYBGim6",Texas
"Corona Virus Jiu Jitsu with Ted .Thank you to my camera Man Leo

#creditcardchoke #bjj #jiujitsu #teamsantosjiujitsu #ted #leosantos #cesargraciejiujitsu #tedmovie #graciefighter #jiujitsufamily #sanramonjiujitsu… https://t.co/R6rNVeZIFZ",California
If I could only have the power to put the darn Corona virus inside that isolated cloud and electrocuted it... 🧐 #hope #rain #clouds #lighting #corona #miami #cuarentena #teampositivos #wonderful_places #godisgood @… https://t.co/tzi5ii5fcj,Florida
"Keep rockin! @ Corona, California https://t.co/ORshkJklvg",California
"Corona ain’t stopping me from seeing these beautiful ass flowers. #COVID19 #Quarantine
.
.
.
.
.
.
#moodyports #PortraitGames #PortraitPage #creative_portraits #PortraitVision #Portrait_Vision #aovportraits… https://t.co/5yzNcBk49B",California
"A few more from the beaches in Corona Del Mar. #socialdistancing #beach @ Corona del Mar, California https://t.co/Mx32mrucdC",California
"#lifeinthetimeofcorona 
.
backstory: when i spotted a man walking his #bike across the street while carrying all these bottles of @corona, i pulled out my camera. just then, some friends called out to him and he… https://t.co/99A3fta5ei",California
"Sunshine, rock and a rope is all she needs to find joy. 
💪🏼
👊🏻
Corona isn’t too bad hanging off the rock in #Utah
#we got this #climbing #climb #startemyoung  #outside #socialdistancing #familytime #rockclimbing… https://t.co/LvQuumuloV",Utah
"#Yaaaoooo post corona!
Collective pieces of beautiful priceless art.. Whatever your craft may be; now is the perfect time to sharpen your sword of creative... Zone zone zone!
@MsBreScullark @KehindeWiley… https://t.co/IBMWEFuuA9",New York
Corona 31- Accessory Work #hippoquaranteams @ CrossFit Hippo https://t.co/Sa0EpXS6lf,Texas
"""CORONA VIRUS!!"" @ Ocean City, Maryland https://t.co/bEXdHfewbS",Maryland
👶🏼Aye everyone #LightskinBaby Been waiting to drop a nuke on ya 🤯 Stay ya Ass home but Lightskin Baby still working. Fuck #corona Lightskin Baby got the toughest immune system. Stay alive to hear this Master Piece.… https://t.co/NyKJld2RZT,South Carolina
"Are you itching to get back into your workout? Bring your workout home with this incredible equipment! #Homeworkout #corona #quarantine #Mentalhealth @ Roseville, California https://t.co/bOlYi5ZoFL",California
"Are you itching to get back into your workout? Bring your workout home with this incredible equipment! #Homeworkout #corona #quarantine #Mentalhealth @ Roseville, California https://t.co/Q5H5PIdfMr",California
"My several stages of protection during the corona or as we call her, Miss Rona. Just trying to keep Miss Rona away as much as we can.  You should too! I only go out for supplies, Dr. Appointments and for a walk/run.… https://t.co/UvFtvM3UUZ",California
"🤣🤣😂😂🤣🤣🤣🤣😂😂😂🤣🤣 #facts 
#period #period #ariesseason #aries #thedefinitionofrealdcooking #thedefinitionofrealdirector #cardib #dmvchef #covid_19 #corona @o_magazine @ Baltimore, Maryland https://t.co/KM8n5ABBvM",Maryland
"Corona Who? Im just patiently waiting for all this to be over so I can turn the rest if this year into the greatest story ever told💪🏽💪🏽💯💯
.
.
.
#pandemic #peace #socialdistancing #stayinside #isolation #selfisolation… https://t.co/Zhn14N9emo",Georgia
Me and my bro in quarantine jamming to demos I have in my bag. Super grateful for these moments. I love how Easter dinner turned into a jam fest. Who else is making the most of their Corona 2020 lockdown? @ Miami… https://t.co/czpr87NH3y,Florida
Tonight we had a serious game of #uno during our #socialdistancing and had lots of laughs! And Mom won the most! lol #corona #coronaquarantine #makingmemories #mommysgirls #kyliepaige… https://t.co/NHZJh4LrYQ,Ohio
"Thx Josh &amp; Meagan for equipping @storycitychurch to help ourselves and to help others in our community deal with the stress we are feeling during #corona joshua.wright.75457 @ Los Angeles,… https://t.co/EYUdScj8t3",California
